ts,city,event_date,ticker,action,price_c,fill_vwap_c,filled_qty,qty,fee_c,p_model,ev_c,pnl_taker_c,pnl_maker_c,clv_c,phase_label,note
2026-07-27T15:36:51+00:00,sea,2026-07-26,KXHIGHTSEA-26JUL26-B74.5,SETTLE,100,19,100,100,0,24.7,,,,80.5,training,hold_would_be 7900
2026-07-27T15:36:51+00:00,aus,2026-07-26,KXHIGHAUS-26JUL26-B98.5,SETTLE,0,36,100,100,0,71.6,,-3800,-3600,-35.5,training,held
2026-07-27T15:36:51+00:00,okc,2026-07-26,KXHIGHTOKC-26JUL26-B102.5,SETTLE,100,44,95,95,0,62.8,,,,55.5,training,hold_would_be 5130
2026-07-28T03:39:26+00:00,den,2026-07-28,KXHIGHDEN-26JUL28-T93,OPEN,16,16.58,100,100,1,65.6,48.6,,,,training,d1
2026-07-28T03:39:26+00:00,sea,2026-07-28,KXHIGHTSEA-26JUL28-T72,OPEN,11,11.0,100,100,1,30.0,18.0,,,,training,d1
2026-07-28T03:39:26+00:00,sea,2026-07-27,KXHIGHTSEA-26JUL27-B78.5,SELL,99,99.0,100,100,1,66.8,,4000,4300,,training,edge_gone
2026-07-28T07:21:37+00:00,sea,2026-07-28,KXHIGHTSEA-26JUL28-T72,SELL,9,8.84,100,100,1,2.4,,-400,-200,,training,edge_gone
2026-07-28T15:11:54+00:00,lax,2026-07-28,KXHIGHLAX-26JUL28-B80.5,OPEN,35,35.0,100,100,2,68.6,31.6,,,,training,d0
2026-07-28T15:11:54+00:00,lv,2026-07-28,KXHIGHTLV-26JUL28-B111.5,OPEN,24,26.79,34,100,2,72.6,46.6,,,,training,d0
2026-07-28T15:11:54+00:00,lax,2026-07-27,KXHIGHLAX-26JUL27-T79,SETTLE,0,26,100,100,0,39.2,,,,-25.5,training,hold_would_be -2800
2026-07-28T15:11:54+00:00,lv,2026-07-27,KXHIGHTLV-26JUL27-B111.5,SETTLE,0,21,100,100,0,31.5,,-2300,-2100,-20.5,training,held
2026-07-28T15:11:54+00:00,sea,2026-07-27,KXHIGHTSEA-26JUL27-B78.5,SETTLE,100,56,100,100,0,63.8,,,,43.5,training,hold_would_be 4200
2026-07-29T03:43:25+00:00,den,2026-07-29,KXHIGHDEN-26JUL29-T93,OPEN,19,21.66,100,100,2,48.8,27.8,,,,training,d1
2026-07-29T03:43:25+00:00,lv,2026-07-29,KXHIGHTLV-26JUL29-B107.5,OPEN,15,15.0,100,100,1,50.9,34.9,,,,training,d1
2026-07-29T07:27:58+00:00,lv,2026-07-29,KXHIGHTLV-26JUL29-B107.5,SELL,20,14.11,100,100,1,1.8,,-300,-100,,training,edge_gone
2026-07-29T15:04:39+00:00,sea,2026-07-29,KXHIGHTSEA-26JUL29-B76.5,OPEN,48,50.84,100,100,2,63.8,13.8,,,,training,d0
2026-07-29T15:04:39+00:00,den,2026-07-28,KXHIGHDEN-26JUL28-T93,SETTLE,0,17,100,100,0,65.6,,-1800,-1700,-16.5,training,held
2026-07-29T15:04:39+00:00,lax,2026-07-28,KXHIGHLAX-26JUL28-B80.5,SETTLE,0,35,100,100,0,68.6,,-3700,-3500,-34.5,training,held
2026-07-29T15:04:39+00:00,lv,2026-07-28,KXHIGHTLV-26JUL28-B111.5,SETTLE,0,27,34,34,0,72.6,,-986,-918,-26.5,training,held
2026-07-30T03:32:03+00:00,lv,2026-07-30,KXHIGHTLV-26JUL30-B112.5,OPEN,21,21.0,100,100,2,31.5,8.5,,,,training,d1
2026-07-30T04:39:53+00:00,lax,2026-07-30,KXHIGHLAX-26JUL30-B76.5,OPEN,22,22.09,100,100,2,35.8,11.8,,,,training,d1
2026-07-30T15:02:05+00:00,den,2026-07-30,KXHIGHDEN-26JUL30-B93.5,OPEN,44,45.48,100,100,2,61.3,15.3,,,,training,d0
2026-07-30T15:02:05+00:00,sea,2026-07-30,KXHIGHTSEA-26JUL30-B77.5,OPEN,56,57.81,100,100,2,63.8,5.8,,,,training,d0
2026-07-30T15:02:05+00:00,den,2026-07-29,KXHIGHDEN-26JUL29-T93,SETTLE,0,22,100,100,0,48.8,,-2400,-2200,-21.5,training,held
2026-07-30T15:02:05+00:00,lv,2026-07-29,KXHIGHTLV-26JUL29-B107.5,SETTLE,0,15,100,100,0,50.9,,,,-14.5,training,hold_would_be -1600
2026-07-30T15:02:05+00:00,sea,2026-07-29,KXHIGHTSEA-26JUL29-B76.5,SETTLE,0,51,100,100,0,63.8,,-5300,-5100,-50.5,training,held
2026-07-30T15:35:21+00:00,sea,2026-07-28,KXHIGHTSEA-26JUL28-T72,SETTLE,0,11,100,100,0,30.0,,,,-10.5,training,hold_would_be -1200
2026-07-30T18:53:32+00:00,den,2026-07-30,KXHIGHDEN-26JUL30-B93.5,SELL,48,44.24,100,100,2,33.5,,-500,-100,,training,edge_gone
2026-07-31T03:52:45+00:00,den,2026-07-31,KXHIGHDEN-26JUL31-T92,OPEN,17,19.18,100,100,2,30.8,12.8,,,,training,d1
2026-07-31T03:52:45+00:00,lax,2026-07-31,KXHIGHLAX-26JUL31-T80,OPEN,51,51.17,100,100,2,97.6,44.6,,,,training,d1
2026-07-31T03:52:45+00:00,lv,2026-07-31,KXHIGHTLV-26JUL31-B110.5,OPEN,13,15.25,100,100,1,25.5,11.5,,,,training,d1
